Category,2023,2022,2021
Revenue,134425,116609,117929
Cost of revenue,25959,25249,22649
Research and development,38483,35914,24655
Marketing and sales,7076,7618,7167
General and administrative,5711,5974,6651
Restructuring,4652,0,0
Total costs and expenses,81881,74755,60942
Income from operations,52544,41854,56987
Interest income,4478,2932,1668
Other income (expense) net,624,-2544,-534
Income before provision for income taxes,57646,42242,58121
Provision for income taxes,16687,5619,7914
Net income,40959,36668,50253
